"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[222]",0.7284,0.6491,-0.4878,0.2825,0.7093,1.1253,2.0703,1.0017,1700
"theta[223]",0.7576,0.5143,-0.1987,0.4072,0.7403,1.0949,1.8316,1.0018,1500
"theta[224]",-1.0386,0.443,-1.8781,-1.3524,-1.0479,-0.7347,-0.1629,1.0023,5000
"theta[225]",-0.5801,0.5191,-1.5487,-0.9356,-0.5922,-0.2462,0.4856,1.0012,3600
"theta[226]",0.3222,0.4748,-0.5595,-0.0044,0.3112,0.6334,1.2943,1.0012,4100
"theta[227]",1.0698,0.7688,-0.3848,0.5424,1.0543,1.5654,2.6443,1.0055,320
"theta[228]",0.0374,0.5676,-1.0519,-0.351,0.0228,0.4007,1.1682,1.0008,5000
"theta[229]",-0.0191,0.5374,-1.0079,-0.3987,-0.0354,0.3371,1.0766,1.0013,3100
"theta[230]",-1.2062,0.4754,-2.088,-1.5343,-1.2168,-0.8862,-0.2477,1.001,5000
"theta[231]",-0.8159,0.5118,-1.7646,-1.1667,-0.8342,-0.4849,0.2365,1.0026,840
"theta[232]",0.4424,0.6438,-0.7563,-0.0114,0.4147,0.8645,1.7962,1.0012,3500
"theta[233]",-1.4278,0.4371,-2.2778,-1.7184,-1.44,-1.1417,-0.5525,1.0009,5000
"theta[234]",0.8613,0.7277,-0.4684,0.3502,0.8505,1.3516,2.3363,1.0027,780
"theta[235]",-1.7901,0.4417,-2.6354,-2.0891,-1.7891,-1.4922,-0.9311,1.0019,1400
"theta[236]",0.7829,0.7491,-0.5781,0.2538,0.7696,1.2735,2.3373,1.0008,5000
"theta[237]",0.2898,0.5229,-0.7014,-0.0576,0.2828,0.634,1.3559,1.001,5000
"theta[238]",0.1504,0.5687,-0.9366,-0.2468,0.1403,0.5414,1.2633,1.0008,5000
"theta[239]",0.7231,0.67,-0.4819,0.2543,0.6764,1.1521,2.1235,1.0013,2900
"theta[240]",-0.3322,0.5437,-1.3506,-0.7058,-0.3577,0.0332,0.7602,1.0015,2000
"theta[241]",1.3106,0.7391,-0.0626,0.8013,1.2789,1.7944,2.8052,1.0009,5000
"theta[242]",-0.8804,0.4821,-1.7795,-1.2069,-0.892,-0.5691,0.1021,1.0059,310
"theta[243]",0.0477,0.4768,-0.8444,-0.2769,0.032,0.3605,1.0182,1.0015,2200
"theta[244]",-1.569,0.4295,-2.4036,-1.864,-1.5713,-1.2829,-0.7259,1.0014,2400
"theta[245]",0.0508,0.4748,-0.8452,-0.2696,0.0356,0.3538,1.0082,1.0008,5000
"theta[246]",-0.8603,0.4883,-1.7842,-1.1863,-0.8761,-0.5371,0.134,1.0008,5000
"theta[247]",-0.4139,0.5439,-1.4043,-0.7836,-0.4482,-0.0633,0.7133,1.0012,4200
"theta[248]",1.2781,0.5738,0.196,0.8865,1.2637,1.6618,2.4274,1.001,5000
"theta[249]",0.2561,0.4899,-0.6435,-0.0849,0.2483,0.5854,1.2474,1.0022,1100
"theta[250]",-0.4692,0.4563,-1.3266,-0.7744,-0.4811,-0.1785,0.4545,1.0013,2900
"theta[251]",-0.526,0.4787,-1.4682,-0.8447,-0.5375,-0.21,0.4301,1.0011,4500
"theta[252]",-1.6758,0.4288,-2.5003,-1.971,-1.6878,-1.3899,-0.7999,1.0047,390
"theta[253]",-0.8512,0.4704,-1.7358,-1.1832,-0.866,-0.5368,0.088,1.0051,350
"theta[254]",0.7188,0.7249,-0.5742,0.2039,0.6836,1.1979,2.2112,1.0035,570
"theta[255]",0.0979,0.6004,-1.0197,-0.3135,0.0849,0.4827,1.3263,1.0015,2200
"theta[256]",-0.3491,0.5519,-1.362,-0.735,-0.3684,0.007,0.8116,1.001,5000
"theta[257]",-1.3483,0.4173,-2.1432,-1.6335,-1.3465,-1.079,-0.4915,1.0036,530
"theta[258]",0.3857,0.6107,-0.7724,-0.0371,0.3659,0.799,1.6426,1.0017,5000
"theta[259]",0.5247,0.4966,-0.3754,0.1876,0.4935,0.8504,1.5492,1.0011,5000
"theta[260]",-0.1639,0.4476,-1.0117,-0.4654,-0.1753,0.131,0.7257,1.0022,1100
"theta[261]",-0.4181,0.5275,-1.3996,-0.7799,-0.4355,-0.0758,0.6966,1.0019,1300
"theta[262]",0.1679,0.6258,-0.9669,-0.2733,0.1304,0.5879,1.4784,1.0014,2500
"theta[263]",0.7705,0.6212,-0.4036,0.3382,0.7505,1.1823,2.0113,1.0025,870
"theta[264]",-0.3777,0.5262,-1.394,-0.7303,-0.3863,-0.0294,0.7102,1.0017,1600
"theta[265]",0.0767,0.6082,-1.0523,-0.3409,0.0558,0.4656,1.3134,1.0015,2100
"theta[266]",0.6955,0.6427,-0.4637,0.2546,0.6692,1.1101,2.0151,1.0017,1700
"theta[267]",-0.9918,0.438,-1.8046,-1.3038,-1.0025,-0.6942,-0.1222,1.0022,1100
"theta[268]",-1.5382,0.4191,-2.3715,-1.8209,-1.5415,-1.2547,-0.7021,1.0012,4100
"theta[269]",0.8635,0.7626,-0.5455,0.3301,0.8151,1.3691,2.4355,1.0024,960
"theta[270]",1.1765,0.7593,-0.2035,0.6347,1.1502,1.6689,2.7397,1.0015,2200
"theta[271]",-2.4223,0.3718,-3.1324,-2.6759,-2.4153,-2.1722,-1.6897,1.001,5000
"theta[272]",0.7639,0.5114,-0.1943,0.4165,0.7574,1.1037,1.7867,1.0046,570
"theta[273]",0.4427,0.6388,-0.7768,-0.0029,0.4297,0.8799,1.7067,1.001,5000
"theta[274]",0.344,0.6288,-0.842,-0.1041,0.3269,0.7621,1.6456,1.0025,860
"theta[275]",-1.6419,0.4265,-2.4674,-1.9321,-1.6438,-1.3619,-0.7922,1.002,1300
"theta[276]",-0.7557,0.528,-1.7584,-1.1221,-0.7596,-0.4016,0.2768,1.0008,5000
"theta[277]",0.3883,0.6564,-0.8408,-0.0639,0.3687,0.8088,1.7676,1.0009,5000
"theta[278]",0.2643,0.5697,-0.7968,-0.1419,0.2467,0.6515,1.4133,1.001,5000
"theta[279]",0.8485,0.67,-0.3962,0.3948,0.8296,1.2933,2.2143,1.001,5000
"theta[280]",-0.5049,0.4273,-1.2868,-0.7945,-0.5202,-0.2248,0.3509,1.0009,5000
"theta[281]",0.981,0.6811,-0.2977,0.5081,0.9707,1.4238,2.3599,1.0018,1600
"theta[282]",0.6405,0.59,-0.4436,0.2428,0.6122,1.0183,1.8574,1.0008,5000
"theta[283]",-0.1508,0.49,-1.1146,-0.4745,-0.1623,0.1653,0.8374,1.0013,3000
"theta[284]",0.8807,0.7496,-0.4945,0.3642,0.8454,1.3654,2.4823,1.0034,580
"theta[285]",-0.1351,0.5628,-1.1905,-0.5201,-0.15,0.2275,1.0114,1.0023,1000
