"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[269]",0.8003,0.3614,0.1152,0.5451,0.7909,1.0335,1.5146,1.0025,810
"theta[270]",0.0039,0.3358,-0.6506,-0.2274,0.0132,0.2306,0.6565,1.0002,1500
"theta[271]",0.7452,0.3641,0.0857,0.4966,0.7414,0.9723,1.5059,1.0006,1500
"theta[272]",-1.4309,0.4094,-2.2876,-1.6925,-1.4191,-1.1636,-0.67,1.0008,1500
"theta[273]",-1.431,0.3988,-2.2328,-1.704,-1.4203,-1.1568,-0.6726,1.001,1500
"theta[274]",-1.1376,0.3825,-1.9412,-1.4015,-1.116,-0.8762,-0.4507,1.0027,750
"theta[275]",-1.2809,0.3913,-2.0581,-1.5482,-1.2813,-1.0092,-0.5173,1.0002,1500
"theta[276]",-0.5738,0.3703,-1.3066,-0.8181,-0.5577,-0.3306,0.1392,1.0011,1500
"theta[277]",-0.3648,0.3488,-1.037,-0.5992,-0.3638,-0.1229,0.2956,1.0007,1500
"theta[278]",-0.2777,0.3407,-0.9474,-0.5017,-0.2853,-0.0417,0.3914,1.0013,1500
"theta[279]",0.728,0.4153,-0.0218,0.4389,0.7114,1.0021,1.5828,1,1500
"theta[280]",-2.8476,0.54,-3.9927,-3.1978,-2.8182,-2.475,-1.8763,1.0011,1500
"theta[281]",1.0151,0.4396,0.2083,0.7249,0.9909,1.3002,1.9522,1.0005,1500
"theta[282]",-0.3505,0.3404,-1.0439,-0.5822,-0.3452,-0.1238,0.3338,1.0008,1500
"theta[283]",-1.2237,0.4247,-2.1173,-1.494,-1.2091,-0.9377,-0.4365,1.0029,800
"theta[284]",-0.8422,0.3649,-1.5931,-1.0928,-0.8273,-0.5914,-0.1633,1.0023,1500
"theta[285]",0.2128,0.348,-0.4449,-0.0169,0.2164,0.4465,0.9092,1.001,1500
"theta[286]",0.0444,0.3471,-0.6293,-0.1859,0.0472,0.2825,0.7201,1.0005,1500
"theta[287]",1.2297,0.4245,0.4569,0.9404,1.2171,1.4888,2.0905,1.0015,1500
"theta[288]",1.8583,0.5241,0.8995,1.4839,1.8152,2.2085,2.9046,1.0013,1500
"theta[289]",-0.5832,0.3585,-1.2905,-0.8206,-0.5626,-0.344,0.0909,1.0002,1500
"theta[290]",-1.8557,0.4463,-2.7523,-2.1387,-1.8523,-1.5633,-1.0181,1.0034,590
"theta[291]",-0.8484,0.3733,-1.5767,-1.1016,-0.8374,-0.6078,-0.141,1.0032,620
"theta[292]",0.5654,0.3566,-0.1262,0.3278,0.5517,0.7914,1.2744,1.0001,1500
"theta[293]",1.2876,0.4437,0.4986,0.9745,1.265,1.5733,2.2518,1.0019,1000
"theta[294]",-1.7176,0.4854,-2.6936,-2.034,-1.7207,-1.3833,-0.7892,1.0024,1500
"theta[295]",0.4931,0.3633,-0.2011,0.2479,0.4953,0.7264,1.2113,1.0008,1500
"theta[296]",0.1972,0.3375,-0.4487,-0.0197,0.1867,0.428,0.8619,1.0001,1500
"theta[297]",-1.2558,0.4051,-2.0388,-1.5302,-1.2563,-0.9701,-0.49,1.0003,1500
"theta[298]",0.3145,0.3316,-0.3066,0.0893,0.3091,0.5467,0.9528,1.0013,1500
"theta[299]",0.5997,0.3569,-0.0973,0.3631,0.5901,0.8381,1.3379,1,1500
"theta[300]",0.0876,0.3394,-0.5644,-0.1272,0.0773,0.3179,0.7571,1.0018,1100
"theta[301]",0.8929,0.4052,0.1673,0.6116,0.8766,1.1514,1.7749,1.0008,1500
"theta[302]",0.3642,0.3516,-0.2933,0.1228,0.3551,0.5842,1.0998,1.0009,1500
"theta[303]",0.0519,0.3585,-0.6692,-0.188,0.0696,0.2847,0.7431,1.002,980
"theta[304]",1.563,0.5842,0.5239,1.1525,1.5097,1.9473,2.7714,1.0004,1500
"theta[305]",-0.0084,0.3435,-0.7181,-0.227,2e-04,0.2113,0.666,1,1500
"theta[306]",-1.1074,0.3969,-1.8716,-1.3597,-1.1023,-0.8388,-0.3609,1.002,980
